City_ID,City,Country,Max Temp,Desc,Lat,Lng,Hotel Name
105,Hamilton,US,71.26,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
106,Ales,FR,79.7,few clouds,44.1333,4.0833,ibis Alès Centre-Ville
113,Chintamani,IN,70.14,overcast clouds,13.4,78.0667,PATEL HOTEL
116,Nador,MA,77.25,broken clouds,35.174,-2.9287,Hôtel La Giralda
118,Reguengos De Monsaraz,PT,75.13,overcast clouds,38.4253,-7.5349,Residencial O Gato
123,Sumbe,AO,72.68,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
124,Muros,ES,73.17,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
128,Tchollire,CM,75.96,light rain,8.4022,14.1698,"Auberge ""l'amicale"""
130,Bandarbeyla,SO,77.81,broken clouds,9.4942,50.8122,JABIR HOTEL
131,Kismayo,SO,75.92,broken clouds,-0.3582,42.5454,Agan-Hotel
150,Axim,GH,76.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
156,Faya,SA,77.52,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
162,Arraial Do Cabo,BR,71.46,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
172,Saint-Augustin,CA,72.63,clear sky,51.226,-58.6502,Riverview Inn
173,Kasongo,CD,77.02,broken clouds,-4.45,26.6667,Guest Hôtel
175,Schagen,NL,73.96,overcast clouds,52.7875,4.7986,Bed And Breakfast Maartje Cornelis Hoeve
177,Inhambane,MZ,72.21,clear sky,-23.865,35.3833,Oceano
179,Westport,US,76.41,overcast clouds,41.1415,-73.3579,The Westport Inn
182,Vila Franca Do Campo,PT,78.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
189,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
192,Solwezi,ZM,73.85,scattered clouds,-12.1688,26.3894,Country Lodge Solwezi
194,Kotar,IN,76.75,broken clouds,24.7167,80.9833,Manmohan Tripathi
201,Asfi,MA,71.24,overcast clouds,32.2994,-9.2372,Hôtel Abda
202,Mantena,BR,78.69,overcast clouds,-18.7817,-40.9803,Hotel Estrela De Minas
206,Reconquista,AR,73.26,clear sky,-29.15,-59.65,Grand Hotel
208,Letlhakeng,BW,77.41,clear sky,-24.0944,25.0298,.
209,Gorele,TR,70.79,scattered clouds,41.0308,39.0031,Görele Öğretmenevi
210,Nacala,MZ,73.76,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
211,Morondava,MG,74.05,clear sky,-20.2833,44.2833,La Case Bambou
222,Brindisi,IT,77.79,clear sky,40.5833,17.6667,Agriturismo Tibitone
225,Banos,EC,78.01,few clouds,-1.4,-78.4167,Samari Spa Resort
228,Arona,ES,77.99,few clouds,28.0996,-16.681,Paradise Court
234,Kaduqli,SD,75.97,light rain,11.0167,29.7167,Nussyba
237,Peniche,PT,74.1,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
238,Bayir,TR,75.72,clear sky,37.2687,28.2167,Hotel Babadag
239,Bubaque,GW,79.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
245,Maun,BW,78.66,clear sky,-19.9833,23.4167,Enviro Villa
249,Monrovia,LR,79.72,broken clouds,6.3005,-10.7969,Sunset Inn
260,Bonthe,SL,79.93,broken clouds,7.5264,-12.505,Bonthe Holiday Village
264,Xai-Xai,MZ,70.23,overcast clouds,-25.0519,33.6442,Complexo da Familia
265,Rabo De Peixe,PT,77.27,few clouds,37.8,-25.5833,Quinta das Giestas
272,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
274,Lakshettipet,IN,77.63,overcast clouds,18.8667,79.2167,Nagula's Residency
275,Ambanja,MG,75.25,light rain,-13.6833,48.45,Hotel Salama and Fast Food
278,Sechura,PE,74.55,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
279,Saint Anthony,US,72.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
287,Vicuna,CL,73.78,clear sky,-30.0319,-70.7081,Los Mosaicos
290,Mattru,SL,79.54,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
292,Pozo Colorado,PY,71.02,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
293,Diego De Almagro,CL,70.29,clear sky,-26.3667,-70.05,hotel luna del desierto
296,Bria,CF,70.5,overcast clouds,6.5423,21.9863,WFP Guesthouse
308,Chadiza,ZM,76.01,clear sky,-14.0678,32.4392,Sankhani Guest House
311,Guzelyurt,TR,70.23,clear sky,38.2772,34.3719,Cappadocia Ihlara Mansions
314,Hospet,IN,72.88,overcast clouds,15.2667,76.4,Hotel Malligi Hampi
317,Impfondo,CG,73.69,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
